	103504732
hsa-mir-320e	100422913
"hsa-mir-193	406968
"hsa-mir-323b	574410
hsa-mir-6739	102466724
hsa-mir-6738	102465442
hsa-mir-6735	102465440
hsa-mir-6734	102466723
hsa-mir-6737	102465441
hsa-mir-8071-2	102466889
hsa-mir-6736	102466191
hsa-mir-8071-1	102465871
hsa-mir-6720	102466720
hsa-mir-3692	100500899
hsa-mir-3691	100500900
hsa-mir-6722	102465431
hsa-mir-6721	102466190
hsa-mir-516b-2"	574485
hsa-mir-4540	100616278
hsa-mir-4773-2	100616418
hsa-mir-6728	102465436
hsa-mir-6727	102465435
hsa-mir-4773-1	100616392
hsa-mir-6729	102466982
hsa-mir-6723	102465432
hsa-mir-6726	102465434
hsa-mir-6753	102465451
