Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000006744	ELAC2	0.02	0.04	0.09	-0.36	-0.12	0.03	0.14	-0.01	-0.03	-0.06	-0.16	-0.23	-0.2	-0.16
ENSG00000025772	TOMM34	-0.02	-0.04	-0.07	0.04	-0.05	-0.06	-0.08	0	0	-0.01	-0.3	-0.22	-0.13	-0.06
ENSG00000037042	TUBG1	-0.07	-0.14	-0.28	-0.17	-0.41	-0.28	-0.23	-0.18	-0.35	-0.7	-0.45	-0.33	-0.27	-0.22
ENSG00000038382	TRIO	-0.01	-0.02	-0.04	0.15	0.24	0	-0.06	0.03	0.06	0.12	-0.39	-0.29	-0.21	-0.15
ENSG00000065000	AP3D1	0.13	0.25	0.5	0.76	0.46	0.19	-0.01	-0.06	-0.12	-0.23	1.26	0.56	0.02	-0.37
ENSG00000072210	ALDH3A2	-0.08	-0.16	-0.32	-0.99	-0.05	0.67	1.2	-0.07	-0.14	-0.27	0.07	0.38	0.72	0.98
ENSG00000080603	SRCAP	0.03	0.05	0.1	-0.31	-0.13	0.07	0.21	-0.08	-0.17	-0.33	-0.25	-0.17	0.04	0.21
ENSG00000084652	TXLNA	0.04	0.07	0.15	0.51	0.35	0.11	-0.09	-0.03	-0.06	-0.12	0.45	0.3	0.11	-0.05
ENSG00000092929	UNC13D	-0.07	-0.15	-0.3	0.02	0.1	-0.22	-0.5	0.22	0.43	0.87	1.07	0.73	0.46	0.28
ENSG00000093000	NUP50	-0.06	-0.13	-0.27	-0.05	-0.33	-0.35	-0.34	0.05	0.09	0.18	-0.21	-0.1	0	0.07
ENSG00000095906	NUBP2	-0.11	-0.22	-0.45	-0.07	-0.04	-0.14	-0.24	-0.08	-0.16	-0.32	0.13	-0.26	-0.35	-0.37
ENSG00000099812	C19orf21	0.14	0.27	0.55	1.03	0.46	-0.05	-0.45	0.04	0.09	0.18	0.32	0.32	-0.16	-0.34
ENSG00000099956	SMARCB1	-0.16	-0.32	-0.63	-0.28	-0.34	-0.4	-0.46	-0.06	-0.12	-0.24	-0.17	-0.17	-0.05	0.05
ENSG00000100242	UNC84B	-0.02	-0.06	-0.12	-0.24	-0.55	-0.66	-0.77	-0.29	-0.59	-1.18	-1	-0.87	-0.89	-0.89
ENSG00000100883	SRP54	0.09	0.19	0.38	0.77	0.83	0.66	0.53	-0.1	-0.19	-0.38	1.15	0.85	0.3	-0.03
ENSG00000101126	ADNP	0.09	0.18	0.36	0.93	-0.06	-0.02	-0.09	0.17	0.33	0.65	0.12	0.6	0.5	0.37
ENSG00000101146	RAE1	0.09	0.19	0.37	0.98	0.49	0.17	-0.09	0	0	0	-0.13	0.34	-0.12	-0.34
ENSG00000101191	DIDO1	-0.06	-0.12	-0.25	-0.8	-0.43	-0.34	-0.27	0.03	0.07	0.13	-0.09	-0.06	0.14	0.3
ENSG00000101346	POFUT1	-0.06	-0.12	-0.24	-0.17	-0.27	-0.1	-0.02	0.03	0.06	0.12	-0.25	0.09	0.17	0.21
ENSG00000102178	UBL4A	-0.11	-0.23	-0.46	-0.56	-0.17	-0.24	-0.23	-0.02	-0.04	-0.08	0.55	0.2	-0.03	-0.18
ENSG00000103275	UBE2I	-0.21	-0.41	-0.83	-0.95	0.09	1.11	1.87	-0.03	-0.05	-0.1	0.33	-0.2	-0.23	-0.2
ENSG00000104067	TJP1	-0.05	-0.1	-0.19	0.47	0.36	0.13	-0.06	0.04	0.08	0.16	0.64	0.48	0.2	-0.02
ENSG00000104524	PYCRL	-0.08	-0.17	-0.35	-0.17	0.12	0.07	0.01	-0.06	-0.12	-0.24	0.24	0.11	-0.06	-0.19
ENSG00000104805	NUCB1	-0.03	-0.05	-0.09	0.67	1	0.82	0.75	-0.01	-0.03	-0.06	1.24	1.25	1.06	0.91
ENSG00000105939	ZC3HAV1	-0.34	-0.68	-1.35	-1.88	-0.65	-0.05	0.32	-0.34	-0.69	-1.38	-0.14	0.03	-0.02	-0.02
ENSG00000106628	POLD2	-0.05	-0.09	-0.19	-0.37	-0.36	-0.27	-0.2	-0.22	-0.44	-0.88	-0.55	-0.37	-0.33	-0.3
ENSG00000108256	NUFIP2	-0.07	-0.13	-0.25	-0.68	-0.33	0.02	0.29	-0.11	-0.23	-0.47	-0.09	-0.17	-0.17	-0.17
ENSG00000116030	SUMO1	-0.11	-0.22	-0.44	-0.9	-0.64	-0.46	-0.32	0	0	0.01	-0.39	-0.3	-0.17	-0.07
ENSG00000116478	HDAC1	-0.06	-0.12	-0.23	-0.73	-0.59	-0.36	-0.2	-0.1	-0.19	-0.38	-0.73	-0.58	-0.4	-0.27
ENSG00000116747	TROVE2	-0.06	-0.12	-0.25	0.08	0.04	-0.01	-0.05	0	0	0.01	0.21	0.21	0.14	0.11
ENSG00000117676	RPS6KA1	-0.02	-0.04	-0.09	-0.3	-0.09	0	0.05	-0.16	-0.31	-0.63	-0.36	-0.39	-0.45	-0.5
ENSG00000117707	PROX1	0.02	0.04	0.08	0.11	0.02	-0.09	-0.17	0.04	0.07	0.14	0.24	0.17	0.01	-0.1
ENSG00000119718	EIF2B2	0.09	0.19	0.37	0.77	0.35	0.03	-0.21	-0.01	-0.02	-0.05	0.32	0.11	-0.06	-0.19
ENSG00000119812	FAM98A	-0.06	-0.11	-0.22	-0.49	-0.37	-0.36	-0.36	-0.14	-0.27	-0.55	0.15	-0.02	-0.25	-0.42
ENSG00000124275	MTRR	0.1	0.19	0.39	0.14	0.32	0.16	0.09	-0.05	-0.11	-0.21	-0.16	-0.35	-0.23	-0.18
ENSG00000124588	NQO2	-0.05	-0.1	-0.19	-0.7	0.05	0.63	1.08	-0.14	-0.28	-0.57	0.83	0.83	0.68	0.62
ENSG00000125144	MT2A	-0.11	-0.22	-0.44	-0.76	0.16	-0.08	-0.11	0.01	0.01	0.04	0.44	-0.22	-0.44	-0.57
ENSG00000125844	RRBP1	-0.05	-0.09	-0.2	0.32	0.74	0.37	0.01	-0.07	-0.13	-0.26	1.02	1.02	-0.03	-0.43
ENSG00000127955	GNAI1	0.14	0.28	0.56	0.82	0.05	0.07	0.15	-0.02	-0.04	-0.08	-0.62	-0.2	0.12	0.35
ENSG00000128534	NAA38	0.03	0.07	0.15	0.95	0.49	0.19	-0.03	0.11	0.22	0.44	0.21	0.06	-0.06	-0.17
ENSG00000129116	PALLD	-0.12	-0.24	-0.49	-1.72	-0.57	0.55	1.37	-0.09	-0.18	-0.35	0.04	-0.77	-0.82	-0.9
ENSG00000130816	DNMT1	0.01	0.02	0.05	0.19	-0.52	0.09	0.36	-0.12	-0.24	-0.49	-1.07	-0.84	-0.5	-0.24
ENSG00000131100	ATP6V1E1	-0.06	-0.12	-0.24	-0.36	-0.16	-0.19	-0.19	-0.15	-0.31	-0.63	-0.1	-0.07	-0.28	-0.38
ENSG00000132357	CARD6	-0.01	-0.02	-0.04	-0.28	0.33	0.96	1.43	-0.1	-0.2	-0.4	0.08	0.55	0.82	1.04
ENSG00000132591	ERAL1	-0.05	-0.1	-0.19	-0.19	-0.21	-0.2	-0.2	-0.14	-0.29	-0.58	-0.27	-0.34	-0.33	-0.32
ENSG00000133265	HSPBP1	-0.11	-0.22	-0.45	-0.33	-0.16	-0.13	-0.12	-0.02	-0.05	-0.1	-0.16	-0.23	-0.22	-0.21
ENSG00000134056	MRPS36	-0.04	-0.08	-0.15	-0.05	-0.23	-0.28	-0.3	0.1	0.2	0.39	0.29	0.14	0.05	-0.01
ENSG00000135655	USP15	0.02	0.04	0.08	0.54	0.35	0.02	-0.23	0.2	0.41	0.81	0.91	0.91	0.55	0.42
ENSG00000135720	DYNC1LI2	0.03	0.06	0.12	0.51	0.63	0.75	0.84	0.01	0.03	0.04	0.32	0.3	0.15	0.02
ENSG00000136205	TNS3	0.05	0.1	0.21	-0.65	-0.65	-0.4	-0.31	-0.14	-0.27	-0.55	-2.07	-1.56	-1.01	-0.59
ENSG00000136448	NMT1	0.04	0.08	0.16	-0.4	-0.19	-0.11	-0.07	-0.03	-0.05	-0.11	-0.54	-0.5	-0.51	-0.52
ENSG00000136950	ARPC5L	-0.01	-0.01	-0.02	0.15	0.06	0.05	0.04	0.09	0.18	0.36	0.21	0.22	0.15	0.09
ENSG00000137073	UBAP2	0.03	0.05	0.11	-0.05	-0.21	-0.28	-0.32	-0.03	-0.05	-0.1	0.02	-0.09	-0.08	-0.06
ENSG00000137337	MDC1	0.04	0.07	0.15	0.73	0.34	0.24	0.19	0.01	0.03	0.06	0.04	0.21	0.25	0.26
ENSG00000138801	PAPSS1	-0.05	-0.1	-0.2	-0.72	-0.44	-0.3	-0.18	-0.07	-0.13	-0.26	-0.28	-0.42	-0.29	-0.16
ENSG00000138802	SEC24B	0.12	0.25	0.51	0.77	0.42	0.37	0.29	-0.08	-0.17	-0.36	-0.16	0.28	0.25	0.18
ENSG00000140650	PMM2	0.08	0.16	0.32	-0.05	0.05	0.01	-0.03	-0.03	-0.06	-0.12	0.61	0.17	-0.17	-0.41
ENSG00000143179	UCK2	-0.03	-0.05	-0.1	-0.58	-0.17	0.14	0.37	-0.1	-0.19	-0.38	-0.34	-0.28	-0.08	0.07
